report,idx,kernel,dur_us,dram_pct,dram_pct_alt,sm_pct,l2_hit_pct,occ_pct,regs,ld_sectors_per_req,st_sectors_per_req,dram_bytes
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,43,_rotary_embedding_kernel,153.28,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,44,_rotary_embedding_kernel,152.128,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,45,_rotary_embedding_kernel,285.312,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,46,_rotary_embedding_kernel,285.984,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,47,_rotary_embedding_kernel,285.536,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,48,_rotary_embedding_kernel,284.64,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,49,_rotary_embedding_kernel,284.768,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,50,_rotary_embedding_kernel,284.64,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,51,_rotary_embedding_kernel,285.184,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,52,_rotary_embedding_kernel,284.8,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,53,_rotary_embedding_kernel,284.512,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,54,_rotary_embedding_kernel,284.768,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,55,_rotary_embedding_kernel,284.288,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,56,_rotary_embedding_kernel,284.544,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,57,_rotary_embedding_kernel,284.896,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,58,_rotary_embedding_kernel,285.728,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,59,_rotary_embedding_kernel,284.864,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,60,_rotary_embedding_kernel,285.952,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,61,_rotary_embedding_kernel,153.568,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,62,_rotary_embedding_kernel,153.76,,,,,,30.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,63,_rotary_embedding_kernel,153.216,,,,,,30.0,,,
dur_base_ltx2__B1_S126_H32_half32__bf16.ncu-rep,0,_ltx2_split_rotary_kernel,3.072,,,,,,20.0,,,
dur_base_ltx2__B1_S126_H32_half32__bf16.ncu-rep,1,_ltx2_split_rotary_kernel,2.72,,,,,,20.0,,,
dur_base_ltx2__B1_S126_H32_half32__bf16.ncu-rep,2,_ltx2_split_rotary_kernel,2.72,,,,,,20.0,,,
dur_base_ltx2__B1_S126_H32_half32__bf16.ncu-rep,3,_ltx2_split_rotary_kernel,2.688,,,,,,20.0,,,
dur_base_ltx2__B1_S126_H32_half32__bf16.ncu-rep,4,_ltx2_split_rotary_kernel,2.656,,,,,,20.0,,,
dur_base_ltx2__B1_S126_H32_half32__bf16.ncu-rep,5,_ltx2_split_rotary_kernel,2.688,,,,,,20.0,,,
dur_base_ltx2__B1_S126_H32_half32__bf16.ncu-rep,6,_ltx2_split_rotary_kernel,2.784,,,,,,20.0,,,
dur_base_ltx2__B1_S126_H32_half32__bf16.ncu-rep,7,_ltx2_split_rotary_kernel,2.784,,,,,,20.0,,,
dur_base_ltx2__B1_S126_H32_half32__bf16.ncu-rep,8,_ltx2_split_rotary_kernel,2.912,,,,,,20.0,,,
dur_base_ltx2__B1_S1536_H32_half32__bf16.ncu-rep,0,_ltx2_split_rotary_kernel,7.424,,,,,,20.0,,,
dur_base_ltx2__B1_S1536_H32_half32__bf16.ncu-rep,1,_ltx2_split_rotary_kernel,6.592,,,,,,20.0,,,
dur_base_ltx2__B1_S1536_H32_half32__bf16.ncu-rep,2,_ltx2_split_rotary_kernel,6.56,,,,,,20.0,,,
dur_base_ltx2__B1_S1536_H32_half32__bf16.ncu-rep,3,_ltx2_split_rotary_kernel,6.528,,,,,,20.0,,,
dur_base_ltx2__B1_S1536_H32_half32__bf16.ncu-rep,4,_ltx2_split_rotary_kernel,6.592,,,,,,20.0,,,
dur_base_ltx2__B1_S1536_H32_half32__bf16.ncu-rep,5,_ltx2_split_rotary_kernel,6.72,,,,,,20.0,,,
dur_base_ltx2__B1_S1536_H32_half32__bf16.ncu-rep,6,_ltx2_split_rotary_kernel,6.656,,,,,,20.0,,,
dur_base_ltx2__B1_S1536_H32_half32__bf16.ncu-rep,7,_ltx2_split_rotary_kernel,6.624,,,,,,20.0,,,
dur_base_ltx2__B1_S1536_H32_half32__bf16.ncu-rep,8,_ltx2_split_rotary_kernel,6.784,,,,,,20.0,,,
dur_base_ltx2__B1_S1536_H32_half64__bf16.ncu-rep,0,_ltx2_split_rotary_kernel,10.784,,,,,,25.0,,,
dur_base_ltx2__B1_S1536_H32_half64__bf16.ncu-rep,1,_ltx2_split_rotary_kernel,10.624,,,,,,25.0,,,
dur_base_ltx2__B1_S1536_H32_half64__bf16.ncu-rep,2,_ltx2_split_rotary_kernel,10.656,,,,,,25.0,,,
dur_base_ltx2__B1_S1536_H32_half64__bf16.ncu-rep,3,_ltx2_split_rotary_kernel,10.624,,,,,,25.0,,,
dur_base_ltx2__B1_S1536_H32_half64__bf16.ncu-rep,4,_ltx2_split_rotary_kernel,10.528,,,,,,25.0,,,
dur_base_ltx2__B1_S1536_H32_half64__bf16.ncu-rep,5,_ltx2_split_rotary_kernel,10.688,,,,,,25.0,,,
dur_base_ltx2__B1_S1536_H32_half64__bf16.ncu-rep,6,_ltx2_split_rotary_kernel,10.784,,,,,,25.0,,,
dur_base_ltx2__B1_S1536_H32_half64__bf16.ncu-rep,7,_ltx2_split_rotary_kernel,10.528,,,,,,25.0,,,
dur_base_ltx2__B1_S1536_H32_half64__bf16.ncu-rep,8,_ltx2_split_rotary_kernel,10.688,,,,,,25.0,,,
dur_base_ltx2__B1_S6144_H32_half32__bf16.ncu-rep,0,_ltx2_split_rotary_kernel,20.48,,,,,,20.0,,,
dur_base_ltx2__B1_S6144_H32_half32__bf16.ncu-rep,1,_ltx2_split_rotary_kernel,19.424,,,,,,20.0,,,
